Time;Mode;State;Warning 1;Warning 2;Longitude;Latitude;Heading;Speed;LGamma Dose rate (?Sv/h);LGamma BKG dose rate (?Sv/h);LGamma (cps);LGamma Bkg (cps);Neutron (cps);Neutron Bkg (cps);High range;HGamma filtered (cps);HGamma filtered Dose rate (?Sv/h);Ext (cps);Event #;Acq state;Live time (s);Temperature(C);Dose (?Sv);MCA Satured;ID 01;CL 01;ID 02;CL 02;ID 03;CL 03;ID 04;CL 04;ID 05;CL 05;ID 06;CL 06;ID 07;CL 07;ID 08;CL 08;
2017-05-30 14:49:56.913;Source Search;Alarm;ID BKG old;;-43.166180;-22.955401;162.77;1.68;0.848;0.065;2264;414.2;0.2;0;False;0;0.29;--;8;BKG;174.882;29.94;0.009;False;Co-60;9;90-2681 keV;7;;;;;;;;;;;;;
2017-05-30 14:49:57.512;Source Search;Alarm;ID BKG old;;-43.366180;-22.871013;162.77;1.68;1.218;0.065;3061.5;414.2;0.5;0;False;6.5;0.995;--;8;BKG;175.499;29.94;0.009;False;Co-60;9;90 keV;7;Th-232;4;;;;;;;;;;;
2017-05-30 14:49:58.670;Source Search;Alarm;ID BKG old;;-43.227764;-22.971013;162.77;1.68;2.104;0.065;4900;414.2;0.3;0;False;3.5;1.533;--;8;BKG;176.655;29.94;0.010;False;Co-60;10;90 keV;7;Th-232;4;;;;;;;;;;;
2017-05-30 14:49:59.258;Source Search;Alarm;ID BKG old;;-43.427764;-22.771013;162.77;1.68;2.449;0.065;5605;414.2;0.3;0;False;1.7;1.429;--;8;BKG;177.235;29.94;0.010;False;Co-60;10;90 keV;7;Th-232;4;;;;;;;;;;;
2017-05-30 14:49:59.857;Source Search;Alarm;ID BKG old;;-43.287764;-22.801013;162.77;1.68;2.708;0.065;6128.2;414.2;0.2;0;False;3.4;1.549;--;8;BKG;177.814;29.94;0.011;False;Co-60;10;90 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:01.164;Source Search;Alarm;ID BKG old;;-43.270764;-22.941013;162.77;1.68;2.95;0.065;6675.5;414.2;0.1;0;False;6.9;2.058;--;8;BKG;179.142;29.94;0.012;False;Co-60;10;90 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:01.702;Source Search;Alarm;ID BKG old;;-43.273764;-22.811013;162.77;1.68;2.881;0.065;6572.5;414.2;0.1;0;False;3.5;2.06;--;8;BKG;179.708;29.94;0.013;False;Co-60;10;90 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:02.261;Source Search;Alarm;ID BKG old;;-43.414764;-22.911013;162.77;1.68;2.782;0.065;6392.9;414.2;0.1;0;False;0;1.648;--;8;BKG;180.243;29.94;0.013;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:02.816;Source Search;Alarm;ID BKG old;;-43.405764;-22.941013;162.77;1.68;2.742;0.065;6268.5;414.2;0.4;0;False;1.8;1.53;--;8;BKG;180.798;29.94;0.013;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:03.734;Source Search;Alarm;ID BKG old;;-43.392764;-22.951013;162.77;1.68;2.674;0.065;6147.3;414.2;0.3;0;False;2.2;1.481;--;8;BKG;181.713;30.06;0.014;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:04.287;Source Search;Alarm;ID BKG old;;-43.381764;-22.931013;162.77;1.68;2.607;0.065;5941.1;414.2;0.3;0;False;0;1.185;--;8;BKG;182.274;30.06;0.014;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:04.993;Source Search;Alarm;ID BKG old;;-43.360764;-22.921013;162.77;1.68;2.503;0.065;5749.3;414.2;0.2;0;False;1.4;1.114;--;8;BKG;182.980;30.06;0.015;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:05.525;Source Search;Alarm;ID BKG old;;-43.350764;-22.881013;162.77;1.68;2.426;0.065;5579.6;414.2;0.2;0;False;1.8;1.105;--;8;BKG;183.530;30.06;0.015;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:06.056;Source Search;Alarm;ID BKG old;;-43.311764;-22.891013;162.77;1.68;2.346;0.065;5437;414.2;0.1;0;False;1.9;1.108;--;8;BKG;184.057;30.06;0.016;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:06.592;Source Search;Alarm;ID BKG old;;-43.303176;-22.901103;136.35;.19;2.241;0.065;5260.3;414.2;0.1;0;False;3.7;1.323;--;8;BKG;184.596;30.06;0.016;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:07.162;Source Search;Alarm;ID BKG old;;-43.284276;-22.951103;136.35;.19;2.185;0.065;5125.9;414.2;0.1;0;False;3.7;1.499;--;8;BKG;185.129;30.06;0.016;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:07.740;Source Search;Alarm;ID BKG old;;-43.256376;-22.957993;136.35;.19;2.007;0.065;4756.3;414.2;0.1;0;False;3.5;1.615;--;8;BKG;185.694;30.06;0.017;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:08.333;Source Search;Alarm;ID BKG old;;-43.226762;-22.891086;97.81;.08;1.712;0.065;4156.6;414.2;0.1;0;False;1.7;1.496;--;8;BKG;186.271;30.06;0.017;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:09.245;Source Search;Alarm;ID BKG old;;-43.236762;-22.901086;97.81;.08;1.42;0.065;3561;414.2;0.3;0;False;3.2;1.575;--;8;BKG;187.205;30.06;0.017;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:10.101;Source Search;Alarm;ID BKG old;;-43.245762;-22.881086;97.81;.08;1.17;0.065;3049.2;414.2;0.2;0;False;0;1.26;--;8;BKG;187.970;30.06;0.017;False;Co-60;10;91-2669 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:10.663;Source Search;Alarm;ID BKG old;;-43.214762;-22.911086;97.81;.08;0.99;0.065;2649.4;414.2;0.2;0;False;4.5;1.54;--;8;BKG;188.633;30.06;0.017;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:11.383;Source Search;Alarm;ID BKG old;;-43.207062;-22.906086;97.81;.08;0.883;0.065;2415.8;414.2;0.1;0;False;1.8;1.443;--;8;BKG;189.190;30.06;0.017;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:11.383;Source Search;Alarm;ID BKG old;;-43.337062;-22.936086;97.81;.08;0.883;0.065;2415.8;414.2;0.1;0;False;1.8;1.443;--;8;BKG;189.190;30.06;0.017;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:11.383;Source Search;Alarm;ID BKG old;;-43.247062;-22.926086;97.81;.08;0.883;0.065;2415.8;414.2;0.1;0;False;1.8;1.443;--;8;BKG;189.190;30.06;0.017;False;Co-60;10;91 keV;7;;;;;;;;;;;;;
2017-05-30 14:50:11.383;Source Search;Alarm;ID BKG old;;-43.297062;-22.846086;97.81;.08;0.883;0.065;2415.8;414.2;0.1;0;False;1.8;1.443;--;8;BKG;189.190;30.06;0.017;False;Co-60;10;91 keV;7;;;;;;;;;;;;;